Date,Description,Amount
2026-03-19,UPI/DR/734075918150/ZOMATO/HDFC/zomato@hdfcbank/Payment,-702.12
2026-03-19,UPI/DR/381087114493/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1168.30
2026-03-19,UPI/DR/593728028433/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-165.45
2026-03-19,NEFT-AXISP00456123-ACME SOFTWARE PVT LTD-SALARY CREDIT,142000.00
2026-03-20,UPI/DR/405630663274/ZOMATO/HDFC/zomato@hdfcbank/Payment,-627.16
2026-03-20,SONYLIV PREMIUM SUBSCRIPTION,-299.00
2026-03-21,UPI/DR/595978604070/ZOMATO/HDFC/zomato@hdfcbank/Payment,-722.63
2026-03-23,UPI/DR/262554966597/OLA/OKAX/ola@okaxis/Payment,-367.24
2026-03-24,UPI/DR/684545899110/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-400.34
2026-03-24,UPI/DR/340676216116/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-366.18
2026-03-24,UPI/DR/599055237827/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-286.69
2026-03-25,UPI/DR/480826915060/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-327.18
2026-03-26,UPI/DR/835713921086/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-153.85
2026-03-26,UPI/DR/775965569015/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-390.05
2026-03-27,UPI/DR/969782844804/ZOMATO/HDFC/zomato@hdfcbank/Payment,-365.71
2026-03-27,UPI/DR/818379474168/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-254.21
2026-03-27,ADOBE SYSTEMS SOFTWARE IN,-1691.00
2026-03-28,UPI/DR/903612277713/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1501.17
2026-03-28,INDIAN OIL PETROL PUMP,-2441.05
2026-03-28,INDIAN OIL PETROL PUMP,-1462.55
2026-03-30,UPI/DR/710062995745/ZOMATO/HDFC/zomato@hdfcbank/Payment,-492.01
2026-03-30,UPI/DR/911820026006/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-236.66
2026-03-31,UPI/DR/625733296757/SWIGGY/YESB/swiggy@ybl/Payment,-839.53
2026-03-31,DMART AVENUE SUPERMART BLR,-2007.61
2026-03-31,UPI/DR/437021609493/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-234.65
2026-03-31,INDIAN OIL PETROL PUMP,-1365.38
2026-04-01,UPI/DR/456622400225/SWIGGY/YESB/swiggy@ybl/Payment,-643.29
2026-04-01,UPI/DR/494002319390/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-194.08
2026-04-01,UPI/DR/278508775728/OLA/OKAX/ola@okaxis/Payment,-347.51
2026-04-03,SPOTIFY INDIA SUBSCRIPTION,-119.00
2026-04-06,UPI/DR/558971781439/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1963.67
2026-04-06,BESCOM ELECTRICITY BILL BBPS,-2115.88
2026-04-07,UPI/DR/118147763409/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-198.54
2026-04-07,FLIPKART INTERNET PVT LTD,-4979.86
2026-04-08,ACT FIBERNET BROADBAND AUTOPAY,-1399.00
2026-04-09,UPI/DR/398444742435/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1135.52
2026-04-09,DISNEY+ HOTSTAR SUBSCRIPTION,-299.00
2026-04-10,UPI/DR/394140950015/SWIGGY/YESB/swiggy@ybl/Payment,-727.29
2026-04-10,UPI/DR/204577169074/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-403.58
2026-04-10,FLIPKART INTERNET PVT LTD,-6204.56
2026-04-10,GOOGLE ONE STORAGE IN,-130.00
2026-04-11,UPI/DR/486390140982/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-240.62
2026-04-11,UPI/DR/139022331211/OLA/OKAX/ola@okaxis/Payment,-288.32
2026-04-11,AIRTEL POSTPAID BILL BBPS,-799.00
2026-04-13,UPI/DR/190282309835/SWIGGY/YESB/swiggy@ybl/Payment,-895.13
2026-04-13,UPI/DR/780478761908/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-150.34
2026-04-13,BOOKMYSHOW PVR ORION MALL,-791.53
2026-04-14,UPI/DR/209520363944/SWIGGY/YESB/swiggy@ybl/Payment,-357.53
2026-04-14,INDIAN OIL PETROL PUMP,-2787.32
2026-04-14,NACH DR STAR HEALTH INSURANCE PREM,-2450.00
2026-04-15,UPI/DR/346494753859/ZOMATO/HDFC/zomato@hdfcbank/Payment,-691.52
2026-04-15,UPI/DR/970395550984/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-186.24
2026-04-15,NETFLIX.COM MUMBAI IN,-649.00
2026-04-16,UPI/DR/954253165779/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-264.38
2026-04-17,UPI/DR/745948969894/OLA/OKAX/ola@okaxis/Payment,-256.66
2026-04-18,DMART AVENUE SUPERMART BLR,-2234.00
2026-04-18,UPI/DR/704715782459/OLA/OKAX/ola@okaxis/Payment,-517.49
2026-04-18,NEFT-AXISP00456123-ACME SOFTWARE PVT LTD-SALARY CREDIT,142000.00
2026-04-19,UPI/DR/613631044590/BLINKIT/ICIC/blinkit.rzp@icici/Order,-506.91
2026-04-19,UPI/DR/632730968552/OLA/OKAX/ola@okaxis/Payment,-286.21
2026-04-20,UPI/DR/655991485076/OLA/OKAX/ola@okaxis/Payment,-444.04
2026-04-20,UPI/DR/810132702912/OLA/OKAX/ola@okaxis/Payment,-472.41
2026-04-20,INDIAN OIL PETROL PUMP,-2406.09
2026-04-20,SONYLIV PREMIUM SUBSCRIPTION,-299.00
2026-04-22,UPI/DR/444339211842/ZOMATO/HDFC/zomato@hdfcbank/Payment,-776.61
2026-04-22,DMART AVENUE SUPERMART BLR,-3104.68
2026-04-23,UPI/DR/219631974955/SWIGGY/YESB/swiggy@ybl/Payment,-749.84
2026-04-23,FLIPKART INTERNET PVT LTD,-1343.54
2026-04-24,UPI/DR/836749223084/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1437.75
2026-04-25,INDIAN OIL PETROL PUMP,-2852.54
2026-04-26,UPI/DR/952141293858/SWIGGY/YESB/swiggy@ybl/Payment,-489.67
2026-04-26,UPI/DR/626530811523/OLA/OKAX/ola@okaxis/Payment,-369.04
2026-04-27,UPI/DR/835670663427/SWIGGY/YESB/swiggy@ybl/Payment,-476.74
2026-04-27,ADOBE SYSTEMS SOFTWARE IN,-1691.00
2026-04-30,UPI/DR/235589667389/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2203.93
2026-04-30,FLIPKART INTERNET PVT LTD,-2521.17
2026-05-01,UPI/DR/437500020340/SWIGGY/YESB/swiggy@ybl/Payment,-578.82
2026-05-03,UPI/DR/667534240715/SWIGGY/YESB/swiggy@ybl/Payment,-791.88
2026-05-03,SPOTIFY INDIA SUBSCRIPTION,-119.00
2026-05-04,APOLLO PHARMACY BENGALURU,-194.45
2026-05-05,UPI/DR/736785780968/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-267.39
2026-05-06,BESCOM ELECTRICITY BILL BBPS,-2432.67
2026-05-07,UPI/DR/230906073612/BLINKIT/ICIC/blinkit.rzp@icici/Order,-550.97
2026-05-07,UPI/DR/100985995373/BLINKIT/ICIC/blinkit.rzp@icici/Order,-932.79
2026-05-08,UPI/DR/274080601176/OLA/OKAX/ola@okaxis/Payment,-103.37
2026-05-08,ACT FIBERNET BROADBAND AUTOPAY,-1399.00
2026-05-09,DISNEY+ HOTSTAR SUBSCRIPTION,-299.00
2026-05-10,GOOGLE ONE STORAGE IN,-130.00
2026-05-11,AIRTEL POSTPAID BILL BBPS,-799.00
2026-05-12,UPI/DR/616256549928/ZOMATO/HDFC/zomato@hdfcbank/Payment,-751.75
2026-05-13,UPI/DR/481314009164/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-238.09
2026-05-14,UPI/DR/114867662430/ZOMATO/HDFC/zomato@hdfcbank/Payment,-652.51
2026-05-14,FLIPKART INTERNET PVT LTD,-5892.41
2026-05-14,NACH DR STAR HEALTH INSURANCE PREM,-2450.00
2026-05-15,UPI/DR/367940169879/SWIGGY/YESB/swiggy@ybl/Payment,-487.82
2026-05-15,UPI/DR/724659390981/ZOMATO/HDFC/zomato@hdfcbank/Payment,-662.23
2026-05-15,UPI/DR/435090029083/OLA/OKAX/ola@okaxis/Payment,-399.80
2026-05-15,UPI/DR/661061633539/OLA/OKAX/ola@okaxis/Payment,-287.79
2026-05-15,NETFLIX.COM MUMBAI IN,-649.00
2026-05-16,UPI/DR/918583157553/OLA/OKAX/ola@okaxis/Payment,-119.07
2026-05-17,UPI/DR/807680744388/BLINKIT/ICIC/blinkit.rzp@icici/Order,-400.56
2026-05-18,NEFT-AXISP00456123-ACME SOFTWARE PVT LTD-SALARY CREDIT,142000.00
2026-05-19,UPI/DR/130240890342/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1145.94
2026-05-19,UPI/DR/374937109857/OLA/OKAX/ola@okaxis/Payment,-259.95
2026-05-20,UPI/DR/811780439049/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2163.86
2026-05-20,UPI/DR/985722584944/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-147.12
2026-05-20,INDIAN OIL PETROL PUMP,-3459.53
2026-05-20,SONYLIV PREMIUM SUBSCRIPTION,-299.00
